iter,cost
0,68.62173953499689
1,68.54288350923746
2,69.10659103656151
3,69.68749221514102
4,71.40893264894395
5,72.63260646565
6,74.2174013736724
7,75.86594965182965
8,77.8742077702611
9,80.78073816531239
10,83.26167251716174
11,86.83410093533803
12,90.83769386899391
13,94.7442292734931
14,99.64217491949945
15,103.49038232499896
16,108.11312245901281
17,112.95556498045508
18,117.45264827044821
19,122.939911846906
