t,alpha
12.5000,18.036800530399493
12.6000,19.340237956958884
12.7000,20.627601627187286
12.8000,21.88807541140808
12.9000,23.11684603031788
13.0000,24.30301426906589
13.1000,25.43967678341732
13.2000,26.521402660948343
13.3000,27.542923971838444
13.4000,28.49516716773543
13.5000,29.377336535413914
13.6000,30.183463309211866
13.7000,30.90471240933842
13.8000,31.53846461024175
13.9000,32.077020505334346
14.0000,32.52427668066979
14.1000,32.87669617023522
14.2000,33.13471084138125
14.3000,33.292190096824896
14.4000,33.35338229452264
14.5000,33.312905802649304
14.6000,33.175726671606476
14.7000,32.95047318768715
14.8000,32.63316310169921
14.9000,32.231801745274836
15.0000,31.747953736773958
15.1000,31.181657379397482
15.2000,30.54212212819333
15.3000,29.831153675093148
15.4000,29.05782456568355
15.5000,28.229985642480933
15.6000,27.350905889032777
15.7000,26.424272595501375
15.8000,25.455908305235223
15.9000,24.456692867539658
16.0000,23.436193397398597
16.1000,22.39535809784628
16.2000,21.34209869080064
16.3000,20.283989473405562
16.4000,19.223431435793994
16.5000,18.165787148405762
16.6000,17.118495370233454
16.7000,16.087971938486785
16.8000,15.076339588667981
16.9000,14.089317108259113
17.0000,13.132172499296223
17.1000,12.206912514445436
17.2000,11.317472102722673
17.3000,10.46421070509906
17.4000,9.649377328203634
17.5000,8.875091011005763
17.6000,8.142881695736895
17.7000,7.453601992176141
17.8000,6.807345459923018
17.9000,6.2045885092673805
18.0000,5.645045422865213
18.1000,5.1279140740368145
18.2000,4.652311442247656
18.3000,4.217169060970404
18.4000,3.8211304950247382
18.5000,3.46275799267707
18.6000,3.1401775151156044
18.7000,2.8514706241305006
18.8000,2.5947059857226917
18.9000,2.3678050441825578
19.0000,2.1687804619607336
19.1000,1.9952791357812867
19.2000,1.8455808942369034
19.3000,1.717314913571682
19.4000,1.608578208410408
19.5000,1.5172403721623722
19.6000,1.441516108688451
19.7000,1.3795440919684367
19.8000,1.3296673678499547
19.9000,1.2907913424440427
20.0000,1.261172715140396
20.1000,1.2394029841187546
20.2000,1.22462110507066
20.3000,1.215736238900112
20.4000,1.2119460502751902
20.5000,1.212520065633432
20.6000,1.2169065812867317
20.7000,1.224484518866505
20.8000,1.235137698064932
20.9000,1.2481980915383744
21.0000,1.2636093875963548
21.1000,1.280989962250477
21.2000,1.299882170764288
21.3000,1.3206205261715145
21.4000,1.3426928507949314
21.5000,1.3663951464127462
21.6000,1.391311830123224
21.7000,1.417771583195399
21.8000,1.445810958084775
21.9000,1.475140470751654
22.0000,1.5054368149238746
22.1000,1.537067783112811
22.2000,1.5705486001077016
22.3000,1.6048527857112276
22.4000,1.6408809598285217
22.5000,1.6781724914775695
22.6000,1.7169033777737468
22.7000,1.756791634007692
22.8000,1.7976043403700432
22.9000,1.8400872703687265
23.0000,1.883757434122964
23.1000,1.92819675460864
23.2000,1.9736238548465028
23.3000,2.019647139790638
23.4000,2.0655291434795577
23.5000,2.110880927328477
23.6000,2.1560982597475964
23.7000,2.200767832500995
23.8000,2.2445931027285515
23.9000,2.2872003172374344
24.0000,2.327934866595085
24.1000,2.366210488199137
24.2000,2.402096550755835
24.3000,2.4340393072347783
24.4000,2.4622284831132353
24.5000,2.4857859403195017
24.6000,2.5037290845212032
24.7000,2.5156982962891954
24.8000,2.5218903858517963
24.9000,2.520268057394112
25.0000,2.5109893827493264
25.1000,2.4928057356826154
25.2000,2.4652374773778916
25.3000,2.4276276166106747
25.4000,2.379174820168406
25.5000,2.3189254416835645
25.6000,2.2465947946586984
25.7000,2.161501986971068
25.8000,2.062874887381852
25.9000,1.9498395543058438
26.0000,1.8217807883821884
26.1000,1.678588288963771
26.2000,1.5197909363308717
26.3000,1.3452649640046326
26.4000,1.154753268011033
